Component,Farnell Order Code,Quantity
C 0805 10u,1833812,10
C 0805 1u,2496946,30
C 0805 0.1u,499687,40
C 0805 10n,1414662,40
C 0805 22pf,1759489,20
,,
R 0805 10G,2420567,2
R 0805 1M,1576507,10
R 0805 100k,2447551,100
R 0805 10k,9237755,30
R 2.4k,2502703,20
R 0805 1k,9237496,30
R 0805 470R,2447662,30
R 0805 100R,1632456,20
,,
3.3V LDO TC1262,1296594,3
Crystal 12 Mhz,9713344,5
PMOS ,2061419,5
NMOS,1864589,5
Poti,2550676,3
Opamp ADA4522,2505560,1
Charge Pump ICL7660,1561969,3
Opamp AD8616,1581952,2
4 NiMH Batteries,2075717,1
Battery Holder,1650685,1
Copper Wire 0.35 mm,1230977,1
Micro USB Type B,2554980,2
MMBT3904,2535650,20
Si2323,1470106,3
